Date of Actual Feedback,Type of Client,Services Availed,Purpose of Transaction,Person/Unit/Officer Transact with,Customer Rating,Customer Feedback,Factor or Details of the Incident:,Recommendations/Suggestions/Desired Action from the Office
3/22/2022,Student,Registrar Office,To get my honorable Dismissal,Registrar Staff,4-Good,Compliment,It`s alright,Peaceful
3/21/2022,Alumni,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,The university has great well being services which are pretty easy to access.,The university must continuously advertises support that is available to students
3/23/2022,Student,Registrar Office,Claim Student Permanent Record/Units Earned,Registrar Staff,5-Excellent,Compliment,The facilities are very good,"Very good, only minor issues to nit-pick"
3/23/2022,Alumni,Registrar Office,Request of Documents,Registrar Staff,5-Excellent,Compliment,Quality Service,"Very good, there is lots to choose from"
3/23/2022,Employee (Faculty),Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,Good,Good
3/23/2022,Alumni,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,"Very good, ",Great facilitates
3/23/2022,Alumni,Registrar Office,Claim TOR,Registrar Staff,5-Excellent,Compliment,Impressive!,Very good quality.
3/23/2022,Alumni,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,Very Good,Clients feel well represented and facilities are competent
3/23/2022,Alumni,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,"Good facilities, friendly and always welcoming",Thank you!
3/23/2022,Alumni,Registrar Office,Get Honorable Dismissal,Registrar Staff,4-Good,Compliment,Helped me with my issues in a quick and easy manner,Helped me with my issues in a quick and easy manner
3/23/2022,Alumni,Registrar Office,Certificate of Units Earned/Print-out of Grades/Authenticate,Registrar Staff,4-Good,Suggestion,None,it's easy to get the processed documents especially for those who are far away because the fare is expensive
3/24/2022,Alumni,Registrar Office,TOR,Registrar Staff,4-Good,Compliment;Suggestion,"Have improved over the years, much more computers and areas to work","Have improved over the years, much more computers and areas to work"
3/24/2022,Alumni,Registrar Office,Claim of Certificate of Transfer Credentials,Registrar Staff,4-Good,Compliment,Good service,Very good and very accessible to you
3/24/2022,Alumni,Registrar Office,TOR and CAV,Registrar Staff,4-Good,Suggestion,Good,i hope next time it will be (1) One day Transaction only. Thank you for a very accommodating personnel. God bless!
3/24/2022,Alumni,Registrar Office,TOR and Certification,Registrar Staff,4-Good,Compliment,Good accommodation in general,Good accommodation in general
3/24/2022,Alumni,Registrar Office,"TOR, CAV, CERT",Registrar Staff,5-Excellent,Compliment,It does alright,None
3/24/2022,Alumni,Registrar Office,Get Documents (TOR/CAV),Registrar Staff,5-Excellent,Compliment;Suggestion,"Smooth Transaction, Very accommodating, Friendly Customer Service",I hope there is one day transaction especially for those who are from far place
05/02/2022,Alumni,Registrar Office,Certificate of Record,Registrar Staff,5-Excellent,Compliment,Reasonably good accommodation,Good accommodation
3/24/2022,Alumni,Registrar Office,Honorable Dismissal,Mr. Miralles,5-Excellent,Compliment,Impressive!,Nothing
05/02/2022,Alumni,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,I really enjoy my accommodation.,"enjoy my accommodation, safe"
3/24/2022,Student,Registrar Office,Grades,Registrar Staff,5-Excellent,Compliment,Staffs: They're ok.,None
3/24/2022,Student,Registrar Office,COR,Registrar Staff,4-Good,Compliment,Good,Nothing
05/02/2022,Alumni,Registrar Office,Claim the TOR,Registrar Staff,4-Good,Compliment,accommodation is mostly a good distance,Accommodation is fine
3/24/2022,Alumni,Registrar Office,"Copy of TOR, CAV, Cert of Compre",Registrar Staff,5-Excellent,Compliment,Very accommodating keep it up!,Very accommodating keep it up!
05/02/2022,Alumni,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,Really good,Good accommodation
05/02/2022,Alumni,Registrar Office,Filling of Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,managed accommodation fills up very quickly,good accommodation
05/02/2022,Alumni,Registrar Office,Filling of TOR,Registrar Staff,5-Excellent,Compliment,The accommodation was great,well maintained
3/24/2022,Alumni,Registrar Office,CAV and TOR,Registrar Staff,5-Excellent,Compliment,Really good,No such thing
05/04/2022,Alumni,Registrar Office,Honorable of Dismissal,Registrar Office,5-Excellent,Compliment,accommodation is fantastic,condition is fine
3/24/2022,Alumni,Registrar Office,Get CAV,Registrar Staff,5-Excellent,Compliment,Everything is fine.,Everything us fine.
05/02/2022,Alumni,Registrar Office,To process Transcript of Records,Registrar Staff,5-Excellent,Compliment,Pretty good,it's alright
3/25/2022,Alumni,Registrar Office,TOR authentication,Registrar Staff,4-Good,Compliment,Good accommodation,Nothing
3/25/2022,Student,Registrar Office,Honorable Dismissal,Registrar Staff,4-Good,Compliment,Good,Great
05/04/2022,Alumni,Registrar Office,"TOR, Diploma",Registrar Staff,2-Poor(Needs Improvement),Complaint,"applied on Feb 1, 2022, 2 was given as applicant on April 4, 2022",Process the system
3/25/2022,Student,Registrar Office,Original Copy of Grades,Registrar Staff,5-Excellent,Compliment,Amazing Employees,Good job!
05/05/2022,Alumni,Registrar Office,Certification of Units Earned,Registrar Staff,5-Excellent,Compliment,It's quite well,Nice accommodation
3/25/2022,Student,Registrar Office,TOR and CAV,Marloyd G. Ocoy,5-Excellent,Compliment,Very Accommodating Personnel,None
3/25/2022,Alumni,Registrar Office,To get my TOR and CAV,Registrar Staff,5-Excellent,Compliment,Extremely good,None
05/05/2022,Alumni,Registrar Office,Getting TOR/CAV,Registrar Office,5-Excellent,Compliment,accommodation is fantastic,accommodation is safe 
3/25/2022,Student,Registrar Office,For Employment,Registrar Staff,5-Excellent,Compliment,really good,keep it up!
05/05/2022,Alumni,Registrar Office,request GWA,Registrar Staff,5-Excellent,Compliment,Standardly good,Very good
3/25/2022,Alumni,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,Excellent Job!,Nothing
3/25/2022,Student,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,Calm,None
05/05/2022,Alumni,Registrar Office,To get my credentials: TOR and CAV,Registrar Staff,5-Excellent,Compliment,The personnel in charge is very accommodating and easy to ask for a guidance regarding on my transaction.,So far the processing of documents/credentials is good. I don't have any complaints. THANK YOU!
05/05/2022,Alumni,Registrar Office,Form 137 and Good Moral,Registrar Staff,5-Excellent,Compliment,It is very safe and well maintained.,Good accommodation
3/25/2022,Alumni,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,"Great, friendly and fun",None
05/05/2022,Alumni,Registrar Office,"TOR, CTC, CAV",Registrar Staff,5-Excellent,Compliment,Very good,Accommodation is reasonably good
3/29/2022,Alumni,Registrar Office,For filling of documents,Registrar,3-Satisfactory,Compliment,Good i guess,Theyre Ok
05/05/2022,Alumni,Registrar Office,process for TOR/CAV,Registrar Staff,4-Good,Compliment,The faculties are good,Nice accomodation
3/29/2022,Alumni,Registrar Office,CAV,Registrar Staff,4-Good,Suggestion,Nothing,Hope the univ have Online Appointment and Online Payment for faster transaction
05/06/2022,Alumni,Registrar Office,Filling of documents for honorable dismissal,Registrar Staffs,5-Excellent,Compliment,The person in charge is very accommodating and approachable,good service
3/29/2022,Student,Registrar Office,Request of Honorable Dismissal,Registrar Staff,4-Good,Compliment,Good,Good
05/06/2022,Alumni,Registrar Office,To get a certificate/submission of request form,Registrar Staff,5-Excellent,Compliment,Acoomodation is great,Would say very good
3/29/2022,Alumni,Registrar Office,Docs of Honorable Dismissal,Registrar Staff,4-Good,Suggestion,Time Management,Next time there must be a personnel assigned early in window 1
05/06/2022,Alumni,Registrar Office,Certificate Acquisition,Registrar Staff,5-Excellent,Compliment,the person in charge is approachable,good accommodation
3/29/2022,Student,Registrar Office,GWA,Registrar,5-Excellent,Compliment,Good job!,Nothing
3/29/2022,Alumni,Registrar Office,Get/Claim TOR/HD/GM,Registrar,5-Excellent,Compliment,Excellent Accommodation,Good job!
05/06/2022,Alumni,Registrar Office,Certificate of Earned units with grades,Registrar Staff,5-Excellent,Compliment,Good so far,Good accommodation 
05/06/2022,Alumni,Registrar Office,Claim Certification,Registrar Office,5-Excellent,Compliment,Very good,good person in charge
3/29/2022,Alumni,Registrar Office,Claim TOR/CAV,Registrar Staff,5-Excellent,Compliment,"Great staff, office",Great experience
05/06/2022,Alumni,Registrar Office,TOR,Registrar Office,4-Good,Compliment,Really good,Good accommodation
3/29/2022,Alumni,Registrar Office,To claim COR and Certificate of Grades,Registrar Staff,5-Excellent,Compliment,Good!,"The university has amazing facilities, they're always kept clean and running effectively"
05/10/2022,Alumni,Registrar Office,"TOR, Certificate, CAV, and certified thru copy",Registrar Staff,5-Excellent,Compliment,Excellent,Satisfactory
05/10/2022,Alumni,Registrar Office,Evaluation Grades,Registrar Staff,5-Excellent,Compliment,It is very comforable,good person in charge
3/29/2022,Alumni,Registrar Office,"TOR, CAV",Registrar Staff,5-Excellent,Compliment,Nice accommodation,clean but confusing to find all the buildings
3/29/2022,Student,Registrar Office,Grades,Registrar Office,5-Excellent,Compliment,Good,Good
05/10/2022,Alumni,Registrar Office,Registrar's office Documents (TOR and CAV),Registrar Staff,5-Excellent,Compliment,Itâ€™s excellent,All good
3/29/2022,Alumni,Registrar Office,Request TOR,Registrar office,5-Excellent,Compliment,Fast to response,None
05/10/2022,Alumni,Registrar Office,Get request TOR/CAV/Certificates,Registrar Staff,5-Excellent,Compliment,Accommodation is great,Satisfactory
3/29/2022,Student,Registrar Office,Honorable Dismissal,Registrar Officer,5-Excellent,Compliment;None,None,None
05/10/2022,Alumni,Registrar Office,"TOR, CAV, CTC",Registrar Staff,5-Excellent,Compliment,Very good,Excellent
3/29/2022,Alumni,Registrar Office,TOR/CAV for abroad,Registrar personnel,5-Excellent,Compliment,Great staff,none
3/29/2022,Student,Registrar Office,Grades,Sir,5-Excellent,Compliment,Thank you!,None
05/10/2022,Alumni,Registrar Office,get TOR/CAR,Registrar Staff,5-Excellent,Compliment,Excellent,Good accommodation
3/30/2022,Student,Registrar Office,Grades ,Maam,5-Excellent,Compliment,Good job,None
05/10/2022,Alumni,Registrar Office,TOR,Registrar Office,5-Excellent,Compliment,Reliable person in charge,Good accommodation
3/30/2022,Student,Registrar Office,Grades,Registrar Staff,4-Good,Compliment,Good,Good
3/30/2022,Student,Registrar Office,PSA,Registrar Staff,4-Good,Compliment,Good,Good
05/11/2022,Alumni,Registrar Office,Evaluation of Grades,Registrar Office,5-Excellent,Compliment,Reasonably safe and comfortable,Great accommodation
3/30/2022,Alumni,Registrar Office,Get TOR and CAV of documents,Registrar Staff,5-Excellent,Compliment,Excellent Service and Accommodating Staff,None
3/30/2022,Student,Registrar Office;Cashier,TOR CAV,Registrar,5-Excellent,Compliment,Great staff! very accommodating,None
3/30/2022,Student,Registrar Office,COR,Registrar,5-Excellent,Compliment,Good job!,Thank you!
3/30/2022,Alumni,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,Excellent staff!,None
05/11/2022,Alumni,Registrar Office,Transfer of Credentials,Registrar Staff,5-Excellent,Compliment,The accommodation is good ,Excellent
3/30/2022,Student,Registrar Office,Process TOR/CAV in masters d,Registrar,5-Excellent,Compliment,the accommodation is good,None
05/11/2022,Student,Registrar Office,Grades,Registrar Staff,5-Excellent,Compliment,Great accommation,so far so good
3/31/2022,Student,Registrar Office,Grade and COR,Registrar,4-Good,Compliment,Good,None
3/31/2022,Alumni,Registrar Office,TOR/CAV,Registrar Staff,4-Good,Compliment,Good,Good
3/31/2022,Student,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,Excellent,Excellent
3/31/2022,Alumni,Registrar Office,CAV and CTC,Registrar Staff,5-Excellent,Compliment,Excellent and Responsive,Good job
05/11/2022,Alumni,Registrar Office,"Payment, Registrar",Registrar Staff,5-Excellent,Compliment,The accommodation is good ,Awesome
3/31/2022,Student,Registrar Office,COR,Registrar officer,5-Excellent,Compliment,Good,Thank you!
05/11/2022,Alumni,Registrar Office,TOR,Registrar Staff,4-Good,Compliment,I like my accommodation,Overall very good
3/31/2022,Student,Registrar Office,honorable dismissal,Registrar staff,5-Excellent,Compliment,Very Good,Excellent
05/11/2022,Student,Registrar Office,Honorable Dismissal and TOR and Certification,Registrar Staff,5-Excellent,Compliment,Very accommodating,So good
3/31/2022,Student,Registrar Office,File CAV,Registrar,5-Excellent,Compliment,Friendly staff,Keep it up!
05/11/2022,Alumni,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,Good accommodation,Over all they are good.
3/31/2022,Alumni,Registrar Office,To get my honorable dismissal ,Registrar officer,5-Excellent,Compliment,Good accommodating staff,Very Good!
05/11/2022,Alumni,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,they are good,good person in charge
3/31/2022,Alumni,Registrar Office,Submission of Honorable Dismissal,Registrar Officer,5-Excellent,Compliment,Staff is easy to talk to,None
05/12/2022,Alumni,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,Accomodating,Satisfactory
3/31/2022,Alumni,Registrar Office,Request for TOR and Submit GTC,Registrar Staff,5-Excellent,Compliment,Convenient to talk,Great Job Staff keep it up!
05/12/2022,Student,Registrar Office,To get TOR/CAV,Registrar Staff,5-Excellent,Compliment,Mostly good,Accommodation is good
3/31/2022,Alumni,Registrar Office,CAV of my TOR for employment,Registrar,5-Excellent,Compliment,Fairly Good,None
05/12/2022,Alumni,Registrar Office,Transfer of Records,Registrar Staff,5-Excellent,Compliment,Excellent,Accommodating
3/31/2022,Alumni,Registrar Office,TOR/CAV/Certificates,Registrar,5-Excellent,Compliment,Very friendly people that offer a lot of advice and support,Nothing
05/12/2022,Alumni,Registrar Office,"Claim CVC, TOR, and CAV",Registrar Staff,5-Excellent,Compliment,Excellent,Good accommodation
3/31/2022,Alumni,Registrar Office,"TOR, CAV and Submit Honorable Dismissal",Registrar Staff,5-Excellent,Compliment,Outstanding,Great job!
3/31/2022,Alumni,Registrar Office,File for honorable dismissal,Registrar,5-Excellent,Compliment,"Great facilities, good events and staff",Nothing
05/12/2022,Student,Registrar Office,TOR and CAV,Registrar Staff,5-Excellent,Compliment,very systematic,very good
3/31/2022,Alumni,Registrar Office,To get TOR/CAV,Registrar Officer,5-Excellent,Compliment,Yes its good,None
3/15/2022,Alumni,Registrar Office,Grades,Staff,5-Excellent,Compliment,Good,None
3/17/2022,Alumni,Registrar Office,To secure CAV,Reg staff,5-Excellent,Compliment,Great presentation of process in filling and good facilities,None
05/12/2022,Alumni,Registrar Office,TOR,Registrar Staff,4-Good,Suggestion,"During online appointment nag inquire ako if mag pa photocopy pa ang  authentication, pero wala ko gi replyanm so pag isba ko dri need jd diay mag pasa og photocopy.","So nagbalik balik ko sa gawas pa photocopy these time, so I suggest ma dapat klaro ang instruction during online appoinment para sure sure ang process, salamat!"
3/30/2022,Student,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,Great work!,None
05/12/2022,Alumni,Registrar Office,Evaluation of grades ,Registrar Staff,5-Excellent,Compliment,Very good,accommodating
05/12/2022,Alumni,Registrar Office,TOR and CAV,Registrar Staff,5-Excellent,Compliment,fantastic,I am satisfied
5/13/2022,Alumni,Registrar Office,Authentication of Documents TOR,Registrar Staff,3-Satisfactory,Compliment,average,just good
5/13/2022,Alumni,Registrar Office,TOR,Registrar Office,5-Excellent,Compliment,Accommodating,Very good
3/14/2022,Student,Registrar Office,CAV,Registrar,5-Excellent,Compliment,Good job!,"Excellent, make it always
"
5/13/2022,Alumni,Registrar Office,"TOR, Diploma",Registrar Staff,3-Satisfactory,Complaint,Delayed due,average
5/13/2022,Alumni,Registrar Office,Grades,Registrar Staff,5-Excellent,Compliment,accommodating,nice
5/13/2022,Alumni,Registrar Office,Get TOR,Registrar Staff,5-Excellent,Compliment,Accommodation is really good,very good!
5/13/2022,Alumni,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,Very good.,Excellent
5/13/2022,Alumni,Registrar Office,get TOR/CAV,Registrar Staff,5-Excellent,Compliment,on time service,good service
5/13/2022,Alumni,Registrar Office,to furnish copy of TOR/CAV,Registrar Staff,5-Excellent,Compliment,fast service,good person in charge
5/16/2022,Alumni,Registrar Office,To request for HD and TOR,Registrar Staff,5-Excellent,Compliment,Very good!,Great service!
3/22/2022,Student,Registrar Office,Grades,Registrar,5-Excellent,Compliment,Good job!,None
5/16/2022,Student,Registrar Office,Follow-up of TOR,Registrar Staff,5-Excellent,Compliment,Great,I am satisfied
03/10/2022,Alumni,Registrar Office,To request TOR and CAV,Registrar Staff,5-Excellent,Compliment,Good,GOod
03/11/2022,Student,Registrar Office,Getting Honorable Dismissal,Registrar Personnel,5-Excellent,Compliment,Very Accommodating!,Good
03/09/2022,Student,Registrar Office,Grades,Registrar Staff,4-Good,Compliment,Good,Good
5/16/2022,Alumni,Registrar Office,TOR and CAV,Registrar Office,5-Excellent,Compliment,Amazing,Excellent
5/16/2022,Student,Registrar Office,Submission of MC Form,Registrar Staff,5-Excellent,Compliment,good service,all good
5/20/2022,Student,Registrar Office,Grades,Registrar Staff,5-Excellent,Compliment,Very Good,none
5/16/2022,Student,College of Law,To file for Honorable dismissal,Registrar Staff,5-Excellent,Compliment,Accommodating person in charge,excellent
5/16/2022,Alumni,Registrar Office,Evaluation of Grades,Registar Staff,4-Good,Compliment,Good in service,Good accomodation
5/23/2022,Student,Registrar Office,1st sem grades for summer job,Registrar Staff,5-Excellent,Compliment,Always there and easily accessed,Great Job
5/23/2022,Alumni,Registrar Office,Official Transcript of Record,Registrar,4-Good,Compliment,Extremely Good,None
5/16/2022,Student,Registrar Office,"TOR, Certificate and Diploma",Registrar Staff,5-Excellent,Compliment,Excellent,very very good
5/23/2022,Alumni,Registrar Office,File TOR,Registrar,3-Satisfactory,Suggestion,personal not so good,The feedback must always fast and reliable
5/16/2022,Alumni,Registrar Office,TOR for Board Exam,Registrar Staff,5-Excellent,Compliment,Nothing so far with my transaction here in school.,Accommodating
5/23/2022,Alumni,Registrar Office;Cashier,TOR,Officer,5-Excellent,Compliment,Good,Everyone's very quick to respond
5/16/2022,Student,Registrar Office,Request for honorable dismissal,Registrar Staff,5-Excellent,Compliment,ideal for all services,Excellent
5/23/2022,Alumni,Registrar Office,Official Transcript of Records,Registrar,5-Excellent,Compliment,Very good. There is ALWAYS help when needed!,keep it up
5/16/2022,Student,Registrar Office,HD,Registrar Office,5-Excellent,Compliment,Good,Good Accommodation
5/16/2022,Alumni,Registrar Office,To file honorable dismissal,Registrar Staff,5-Excellent,Compliment,As far as good,Excellent
5/16/2022,Student,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,No complaints,Excellent service
5/17/2022,Student,Registrar Office,Grades,Registrar staff,5-Excellent,Compliment,As far as good,Good service
5/17/2022,Student,Registrar Office,TOR/CAV,Registrar Staff,4-Good,Compliment,All good,Good accommodation
5/17/2022,Student,Registrar Office,Transcript of Record,Registrar Staff,5-Excellent,Compliment,good service ,accommodating person in charge
5/17/2022,Student,Registrar Office,Grades,Registrar Staff,5-Excellent,Compliment,Has everything I need,Accommodating
5/17/2022,Student,Registrar Office,Issuance of documents,Registrar Staff,5-Excellent,Compliment,No complaints,All good
5/17/2022,Student,Registrar Office,Get calibrated TOR for units earned in Master's Degrees,Registrar Staff,5-Excellent,Compliment,Very good ,Comfortable and accommodating
5/17/2022,Student,Registrar Office,Grades,Registrar Staff,5-Excellent,Compliment,All good,All good
5/23/2022,Alumni,Registrar Office,Application for Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,Very accommodating personnel's,Great job!
5/17/2022,Student,Registrar Office,get TOR/CAV,Registrar Staff,5-Excellent,Compliment,approachable in charge,Excellent
5/17/2022,Student,Registrar Office,To file TOR,Registrar Staff,5-Excellent,Compliment,Excellent,Good accommodation
5/23/2022,Alumni,Registrar Office,To get SHS diploma,Registrar,5-Excellent,Compliment,Good,None
5/18/2022,Student,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,Fast service,Over all good
5/18/2022,Student,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,All good,Excellent
5/24/2022,Alumni,Registrar Office,TOR,Registrar,5-Excellent,Compliment,Really good accommodation,Good
5/24/2022,Student,Registrar Office,Grades,Registrar,5-Excellent,Compliment,The support is very good,Good
5/18/2022,Student,Registrar Office,Grades,Registrar Office,5-Excellent,Compliment,Accomodation is definetly the best,I am satisfied
5/24/2022,Alumni,Registrar Office,Grade,Registrar,5-Excellent,Compliment,Excellent staff,Good transaction
5/18/2022,Student,Registrar Office,"TOR, CAV",Registrar Staff,5-Excellent,Compliment,Good,All good
5/18/2022,Student,Registrar Office,to get TOR,Registrar Staff,5-Excellent,Compliment,Excellent,Excellent
5/24/2022,Student,Registrar Office,Grades and COR for scholarship,Registrar,5-Excellent,Compliment,I consider it good,Good enough
5/18/2022,Student,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,Accomodating,Great service
5/24/2022,Student,Registrar Office,School Docs,Registrar Staff,5-Excellent,Compliment,No complaints,Well being workers
5/18/2022,Student,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,Fast service,Approachable staff
5/18/2022,Student,Registrar Office,grades,Registrar Staff,5-Excellent,Compliment,good and comfortable,all good
5/25/2022,Student,Registrar Office,Evaluation of Grades,Registrar,5-Excellent,Compliment,I love this uni and everything about it,Good job!
5/19/2022,Student,Registrar Office,get COR,Registrar Staff,5-Excellent,Compliment,Really good,Excellent
5/25/2022,Student,Registrar Office,Evaluation of Grades,Registrar,5-Excellent,Compliment;Suggestion,Really good. ,Lots of windows available to inquire
5/19/2022,Student,Registrar Office,get documents,Registrar Staff,5-Excellent,Compliment,very good,person in charge we have are good
5/19/2022,Student,Registrar Office,to get a copy of TOR,Registrar Staff,5-Excellent,Compliment,Reliable in charge,Accommodating
5/19/2022,Student,Registrar Office,Honourable dismissal for school purposes,Registrar Staff,5-Excellent,Compliment,Excellent,great service
5/25/2022,Alumni,Registrar Office,Grades,Registrar Staff,5-Excellent,Compliment,Great job of the staff for fast accommodation,Great office
5/25/2022,Alumni,Registrar Office,TOR/CAV,Registrar,4-Good,Compliment,Good,Nothing
5/19/2022,Student,Registrar Office,get an HD,Registrar Staff,4-Good,Compliment,Good,great
5/19/2022,Student,Registrar Office,grade,Registrar Staff,2-Poor(Needs Improvement),Complaint,Accommodation is so slow,very bad experience
5/25/2022,Alumni,Registrar Office,Request of HD,Registrar,4-Good,Compliment,Great customer support,I would recommend them unreservedly
5/25/2022,Student,Registrar Office,Validate ID,Registrar,4-Good,Compliment,Good,Good
5/20/2022,Student,Registrar Office,to get sealed my SGR,Registrar Staff,5-Excellent,Compliment,Excellent,Fast accommodation
5/25/2022,Student,Registrar Office,Get credentials,Registrar,5-Excellent,Compliment,The service is smooth and straightforward,Good job!
5/25/2022,Student,Registrar Office,Summer job docs,Registrar,4-Good,Compliment,Great Service,Thank you!
5/20/2022,Student,Registrar Office,get my TOR/CAV/CERTIFICATION/TO PAY MY TUITION,Registrar Staff,5-Excellent,Compliment,THANK YOU FOR ASSESSING ME.,Thank you for good accommodation.
5/25/2022,Alumni,Registrar Office,Diploma,Registrar,4-Good,Compliment, provides excellent customer service,Great customer service
5/25/2022,Alumni,Registrar Office,TOR CAV and Good moral,Registrar,5-Excellent,Compliment,Excellent customer service,Keep it up.
5/25/2022,Student,Registrar Office,GET sealed of SGR,Registrar,5-Excellent,Compliment,The man I spoke with was very helpful in answering questions,Great
5/26/2022,Student,Registrar Office,Grades,Registrar,5-Excellent,Compliment,Very polite and helpful customer service,Continue being that
5/27/2022,Alumni,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,Great customer service,Good job!
5/27/2022,Alumni,Registrar Office,TOR,Registrar staff,5-Excellent,Compliment,Excellent customer service,Good job!
5/27/2022,Alumni,Registrar Office,Honorable dismissal,Registrar,5-Excellent,Compliment, Response was very satisfactory,Good
5/27/2022,Student,Registrar Office,to obtain certification of units,Registrar,5-Excellent,Compliment,Polite and Helpful staff,Recommended
5/27/2022,Student,Registrar Office,to file dismissal,Registrar,5-Excellent,Compliment,None,None
5/27/2022,Alumni,Registrar Office,Request honorable dismissal,Registrar,5-Excellent,Compliment,None,None
5/30/2022,Alumni,Registrar Office,TOR,Registrar,5-Excellent,Compliment,Good ,Good
5/30/2022,Alumni,Registrar Office,CAV,Registrar,5-Excellent,Compliment,"awesome, great customer service, knowledgeable, great personality",none
5/30/2022,Alumni,Registrar Office,claim credentials,Registrar,5-Excellent,Compliment,great personality,Good
5/30/2022,Alumni,Registrar Office,TOR,Registrar,5-Excellent,Compliment,Great response from the staff,None
5/30/2022,Alumni,Registrar Office,TOR,Registrar,5-Excellent,Compliment,great customer service,none
5/30/2022,Alumni,Registrar Office,CAV,Registrar ,5-Excellent,Compliment,"Excellent customer service, efficient process",Great job!
5/30/2022,Alumni,Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,Response was very satisfactory,Good job
5/30/2022,Alumni,Registrar Office,"CAV, TOR Unit earned",Registrar,5-Excellent,Compliment,"Great customer service,",Rates are good
5/30/2022,Alumni,Registrar Office,Request for CAV,Registrar Staff,5-Excellent,Compliment,Great customer service,Nothing
5/30/2022,Alumni,Registrar Office,TOR,Registrar,5-Excellent,Compliment,Great customer service very knowledgeable and helpful,none
5/31/2022,Alumni,Registrar Office,Evaluation of Grade,Registrar,5-Excellent,Compliment,friendly and very professional customer service,none
5/31/2022,Student,Registrar Office,Grades and COR,Registrar,5-Excellent,Compliment,friendly and polite staff,Thank you!
5/31/2022,Alumni,Registrar Office,Request for honorable dismissal,Registrar staff,4-Good,Compliment,Good and friendly staff,None
5/31/2022,Alumni,Registrar Office,Honorable Dismissal,Registrar staff,5-Excellent,Compliment,Thank you for the amazing support!,Thank you!
5/31/2022,Alumni,Registrar Office,TOR and CAV,Registrar,5-Excellent,Compliment,Best customer service. I really appreciate all the efforts,Great work!
